TIMESTAMP: 36, UE_ID: 87, CELL_SOURCE_ID: 17, CELL_TARGET_ID: 1, RSRP_SOURCE: -103.37, RSRP_TARGET: -90.76, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 0.65, SINR_TARGET: 23.10, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 36, UE_ID: 92, CELL_SOURCE_ID: 17, CELL_TARGET_ID: 1, RSRP_SOURCE: -102.19, RSRP_TARGET: -69.70, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -2.54, SINR_TARGET: 36.63, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 41, UE_ID: 9, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 1, RSRP_SOURCE: -107.04, RSRP_TARGET: -95.86, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -3.50, SINR_TARGET: 16.39, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 41, UE_ID: 35, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 20, RSRP_SOURCE: -114.00, RSRP_TARGET: -99.72, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.15, SINR_TARGET: 10.12, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 48, UE_ID: 35, CELL_SOURCE_ID: 20, CELL_TARGET_ID: 5, RSRP_SOURCE: -114.45, RSRP_TARGET: -93.32, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -14.79, SINR_TARGET: 21.82, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 56, UE_ID: 4, CELL_SOURCE_ID: 46, CELL_TARGET_ID: 1, RSRP_SOURCE: -102.89, RSRP_TARGET: -91.68, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 2.46, SINR_TARGET: 16.60, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 62, UE_ID: 4, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -103.68, RSRP_TARGET: -86.12, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -2.61, SINR_TARGET: 26.12, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 77, UE_ID: 44, CELL_SOURCE_ID: 3, CELL_TARGET_ID: 1, RSRP_SOURCE: -106.12, RSRP_TARGET: -95.56, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.62, SINR_TARGET: 13.36, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 83, UE_ID: 5, CELL_SOURCE_ID: 49, CELL_TARGET_ID: 1, RSRP_SOURCE: -113.65, RSRP_TARGET: -96.93, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.10, SINR_TARGET: 13.06, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 90, UE_ID: 11, CELL_SOURCE_ID: 22, CELL_TARGET_ID: 1, RSRP_SOURCE: -113.96, RSRP_TARGET: -80.47, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.97, SINR_TARGET: 28.82, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 92, UE_ID: 29, CELL_SOURCE_ID: 6, CELL_TARGET_ID: 5, RSRP_SOURCE: -114.18, RSRP_TARGET: -100.96, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.81, SINR_TARGET: 10.60, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 94, UE_ID: 95, CELL_SOURCE_ID: 17, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.13, RSRP_TARGET: -93.46, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.57, SINR_TARGET: 15.75, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 116, UE_ID: 5, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -107.42, RSRP_TARGET: -97.37, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 4.59, SINR_TARGET: 15.59, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 116, UE_ID: 95, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -107.07, RSRP_TARGET: -96.60, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 0.85, SINR_TARGET: 12.72, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 120, UE_ID: 5, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 1, RSRP_SOURCE: -112.70, RSRP_TARGET: -101.95, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.56, SINR_TARGET: 8.67, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
