TIMESTAMP: 52, UE_ID: 2, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 1, RSRP_SOURCE: -109.96, RSRP_TARGET: -96.61, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -4.38, SINR_TARGET: 11.45, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 52, UE_ID: 74, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 1, RSRP_SOURCE: -112.88, RSRP_TARGET: -102.24, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.00, SINR_TARGET: 10.85, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 56, UE_ID: 10, CELL_SOURCE_ID: 12, CELL_TARGET_ID: 1, RSRP_SOURCE: -88.82, RSRP_TARGET: -69.05, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 23.51, SINR_TARGET: 41.56, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 61, UE_ID: 37, CELL_SOURCE_ID: 56, CELL_TARGET_ID: 22, RSRP_SOURCE: -114.68, RSRP_TARGET: -102.31, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -8.27, SINR_TARGET: 8.34, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 72, UE_ID: 9, CELL_SOURCE_ID: 53, CELL_TARGET_ID: 2, RSRP_SOURCE: -113.66, RSRP_TARGET: -103.14, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.73, SINR_TARGET: 7.25, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 72, UE_ID: 51, CELL_SOURCE_ID: 53, CELL_TARGET_ID: 1, RSRP_SOURCE: -108.22, RSRP_TARGET: -93.98, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.01, SINR_TARGET: 14.15, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 84, UE_ID: 35, CELL_SOURCE_ID: 55, CELL_TARGET_ID: 56, RSRP_SOURCE: -114.67, RSRP_TARGET: -87.66, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -20.22, SINR_TARGET: 21.56, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 90, UE_ID: 87, CELL_SOURCE_ID: 21, CELL_TARGET_ID: 1, RSRP_SOURCE: -106.37, RSRP_TARGET: -89.14, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.14, SINR_TARGET: 22.38, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 93, UE_ID: 47, CELL_SOURCE_ID: 24, CELL_TARGET_ID: 1, RSRP_SOURCE: -97.07, RSRP_TARGET: -81.70, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 15.01, SINR_TARGET: 27.53, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 93, UE_ID: 61, CELL_SOURCE_ID: 35, CELL_TARGET_ID: 1, RSRP_SOURCE: -111.34, RSRP_TARGET: -101.00, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.38, SINR_TARGET: 9.36, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 103, UE_ID: 45, CELL_SOURCE_ID: 39, CELL_TARGET_ID: 37, RSRP_SOURCE: -111.96, RSRP_TARGET: -95.17, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.75, SINR_TARGET: 14.50, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 103, UE_ID: 87, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -111.56, RSRP_TARGET: -98.32, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.02, SINR_TARGET: 9.12, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 112, UE_ID: 95, CELL_SOURCE_ID: 18, CELL_TARGET_ID: 1, RSRP_SOURCE: -104.13, RSRP_TARGET: -86.62, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 4.43, SINR_TARGET: 27.32, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 114, UE_ID: 90, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -101.85, RSRP_TARGET: -88.33, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 7.75, SINR_TARGET: 19.46, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 123, UE_ID: 14, CELL_SOURCE_ID: 31, CELL_TARGET_ID: 32, RSRP_SOURCE: -114.84, RSRP_TARGET: -101.44, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.35, SINR_TARGET: 10.86, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 133, UE_ID: 15, CELL_SOURCE_ID: 24, CELL_TARGET_ID: 22, RSRP_SOURCE: -108.31, RSRP_TARGET: -97.57, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 2.58, SINR_TARGET: 13.20, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 135, UE_ID: 4, CELL_SOURCE_ID: 21, CELL_TARGET_ID: 2, RSRP_SOURCE: -107.49, RSRP_TARGET: -96.64, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.60, SINR_TARGET: 10.89, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 141, UE_ID: 1, CELL_SOURCE_ID: 17, CELL_TARGET_ID: 1, RSRP_SOURCE: -103.64, RSRP_TARGET: -93.56, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 5.04, SINR_TARGET: 15.86, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 151, UE_ID: 5, CELL_SOURCE_ID: 52, CELL_TARGET_ID: 1, RSRP_SOURCE: -111.46, RSRP_TARGET: -98.60, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.30, SINR_TARGET: 9.17, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
