TIMESTAMP: 64, UE_ID: 9, CELL_SOURCE_ID: 53, CELL_TARGET_ID: 55, RSRP_SOURCE: -98.07, RSRP_TARGET: -65.28, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 9.41, SINR_TARGET: 43.32, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 69, UE_ID: 96, CELL_SOURCE_ID: 3, CELL_TARGET_ID: 1, RSRP_SOURCE: -99.08, RSRP_TARGET: -88.42, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 14.22, SINR_TARGET: 22.29, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 79, UE_ID: 12, CELL_SOURCE_ID: 49, CELL_TARGET_ID: 1, RSRP_SOURCE: -65.13, RSRP_TARGET: -54.43, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 44.13, SINR_TARGET: 55.04, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 80, UE_ID: 74, CELL_SOURCE_ID: 53, CELL_TARGET_ID: 1, RSRP_SOURCE: -112.96, RSRP_TARGET: -102.84, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -7.97, SINR_TARGET: 7.65, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 81, UE_ID: 10, CELL_SOURCE_ID: 11, CELL_TARGET_ID: 1, RSRP_SOURCE: -98.38, RSRP_TARGET: -85.69, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 11.78, SINR_TARGET: 22.49, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 82, UE_ID: 74, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -111.51, RSRP_TARGET: -100.79, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -3.31, SINR_TARGET: 7.08, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 83, UE_ID: 29, CELL_SOURCE_ID: 6, CELL_TARGET_ID: 1, RSRP_SOURCE: -109.76, RSRP_TARGET: -96.15, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -4.65, SINR_TARGET: 16.29, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 89, UE_ID: 74, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 4, RSRP_SOURCE: -114.82, RSRP_TARGET: -104.80, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.46, SINR_TARGET: 6.66, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 91, UE_ID: 32, CELL_SOURCE_ID: 38, CELL_TARGET_ID: 40, RSRP_SOURCE: -114.36, RSRP_TARGET: -84.87, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -4.90, SINR_TARGET: 28.40, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 91, UE_ID: 74, CELL_SOURCE_ID: 4, CELL_TARGET_ID: 49, RSRP_SOURCE: -112.56, RSRP_TARGET: -102.27, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.43, SINR_TARGET: 6.29, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 96, UE_ID: 29, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 4, RSRP_SOURCE: -113.66, RSRP_TARGET: -98.41, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -0.45, SINR_TARGET: 11.69, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
