TIMESTAMP: 24, UE_ID: 62, CELL_SOURCE_ID: 9, CELL_TARGET_ID: 2, RSRP_SOURCE: -97.59, RSRP_TARGET: -77.53, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 2.74, SINR_TARGET: 34.96, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 96, UE_ID: 2, CELL_SOURCE_ID: 52, CELL_TARGET_ID: 56, RSRP_SOURCE: -103.31, RSRP_TARGET: -90.22, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 4.93, SINR_TARGET: 20.49, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 114, UE_ID: 1, CELL_SOURCE_ID: 43, CELL_TARGET_ID: 2, RSRP_SOURCE: -107.87, RSRP_TARGET: -96.89, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 4.11, SINR_TARGET: 13.22, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 114, UE_ID: 62, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 5, RSRP_SOURCE: -96.12, RSRP_TARGET: -84.50, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 17.36, SINR_TARGET: 28.43, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 115, UE_ID: 96, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 14, RSRP_SOURCE: -100.05, RSRP_TARGET: -88.43, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 6.88, SINR_TARGET: 23.74, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 147, UE_ID: 11, CELL_SOURCE_ID: 24, CELL_TARGET_ID: 2, RSRP_SOURCE: -103.33, RSRP_TARGET: -85.48, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 4.02, SINR_TARGET: 25.22, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 156, UE_ID: 14, CELL_SOURCE_ID: 34, CELL_TARGET_ID: 31, RSRP_SOURCE: -113.80, RSRP_TARGET: -98.82, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -4.27, SINR_TARGET: 13.06, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 158, UE_ID: 66, CELL_SOURCE_ID: 42, CELL_TARGET_ID: 34, RSRP_SOURCE: -108.20, RSRP_TARGET: -98.18, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 1.52, SINR_TARGET: 9.08, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 162, UE_ID: 19, CELL_SOURCE_ID: 42, CELL_TARGET_ID: 37, RSRP_SOURCE: -113.15, RSRP_TARGET: -101.61, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.20, SINR_TARGET: 11.43, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 163, UE_ID: 44, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 14, RSRP_SOURCE: -111.45, RSRP_TARGET: -101.00, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -0.78, SINR_TARGET: 10.60, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 166, UE_ID: 47, CELL_SOURCE_ID: 24, CELL_TARGET_ID: 2, RSRP_SOURCE: -96.65, RSRP_TARGET: -84.77, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 12.67, SINR_TARGET: 27.26, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 185, UE_ID: 83, CELL_SOURCE_ID: 34, CELL_TARGET_ID: 2, RSRP_SOURCE: -97.46, RSRP_TARGET: -86.52, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 14.77, SINR_TARGET: 22.73, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 188, UE_ID: 12, CELL_SOURCE_ID: 50, CELL_TARGET_ID: 2, RSRP_SOURCE: -105.68, RSRP_TARGET: -84.43, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 7.07, SINR_TARGET: 26.14, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 192, UE_ID: 77, CELL_SOURCE_ID: 31, CELL_TARGET_ID: 5, RSRP_SOURCE: -107.67, RSRP_TARGET: -96.51, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 3.33, SINR_TARGET: 12.96, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 198, UE_ID: 25, CELL_SOURCE_ID: 43, CELL_TARGET_ID: 2, RSRP_SOURCE: -105.85, RSRP_TARGET: -87.65, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 8.00, SINR_TARGET: 21.45, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 201, UE_ID: 32, CELL_SOURCE_ID: 37, CELL_TARGET_ID: 2, RSRP_SOURCE: -103.97, RSRP_TARGET: -93.46, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 9.25, SINR_TARGET: 13.06, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 202, UE_ID: 13, CELL_SOURCE_ID: 56, CELL_TARGET_ID: 22, RSRP_SOURCE: -107.85, RSRP_TARGET: -96.89, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 1.88, SINR_TARGET: 13.21, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 203, UE_ID: 87, CELL_SOURCE_ID: 18, CELL_TARGET_ID: 24, RSRP_SOURCE: -114.06, RSRP_TARGET: -100.76, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.43, SINR_TARGET: 8.95, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 209, UE_ID: 63, CELL_SOURCE_ID: 43, CELL_TARGET_ID: 2, RSRP_SOURCE: -112.56, RSRP_TARGET: -98.79, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 0.37, SINR_TARGET: 9.25, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 215, UE_ID: 1, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 5, RSRP_SOURCE: -98.13, RSRP_TARGET: -86.20, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 7.50, SINR_TARGET: 22.80, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 231, UE_ID: 64, CELL_SOURCE_ID: 19, CELL_TARGET_ID: 28, RSRP_SOURCE: -112.67, RSRP_TARGET: -99.34, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -4.69, SINR_TARGET: 12.45, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
