TIMESTAMP: 24, UE_ID: 32, CELL_SOURCE_ID: 38, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.33, RSRP_TARGET: -102.39, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.09, SINR_TARGET: 7.56, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 32, UE_ID: 77, CELL_SOURCE_ID: 33, CELL_TARGET_ID: 1, RSRP_SOURCE: -112.94, RSRP_TARGET: -100.00, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.37, SINR_TARGET: 10.73, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 39, UE_ID: 87, CELL_SOURCE_ID: 16, CELL_TARGET_ID: 1, RSRP_SOURCE: -113.55, RSRP_TARGET: -86.08, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.52, SINR_TARGET: 24.38, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 49, UE_ID: 35, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 1, RSRP_SOURCE: -109.76, RSRP_TARGET: -95.17, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.74, SINR_TARGET: 12.86, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 60, UE_ID: 5, CELL_SOURCE_ID: 51, CELL_TARGET_ID: 4, RSRP_SOURCE: -114.55, RSRP_TARGET: -101.32, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.53, SINR_TARGET: 9.14, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 60, UE_ID: 48, CELL_SOURCE_ID: 5, CELL_TARGET_ID: 1, RSRP_SOURCE: -98.29, RSRP_TARGET: -61.50, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 11.20, SINR_TARGET: 49.88, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 65, UE_ID: 4, CELL_SOURCE_ID: 48, CELL_TARGET_ID: 1, RSRP_SOURCE: -100.01, RSRP_TARGET: -89.99, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 11.09, SINR_TARGET: 23.05, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 68, UE_ID: 4, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -109.74, RSRP_TARGET: -87.74, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -3.76, SINR_TARGET: 21.30, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 70, UE_ID: 56, CELL_SOURCE_ID: 50, CELL_TARGET_ID: 21, RSRP_SOURCE: -114.67, RSRP_TARGET: -104.15, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.45, SINR_TARGET: 0.34, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 71, UE_ID: 66, CELL_SOURCE_ID: 41, CELL_TARGET_ID: 2, RSRP_SOURCE: -107.35, RSRP_TARGET: -94.77, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -3.85, SINR_TARGET: 18.68, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 82, UE_ID: 84, CELL_SOURCE_ID: 33, CELL_TARGET_ID: 30, RSRP_SOURCE: -113.88, RSRP_TARGET: -98.40, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.06, SINR_TARGET: 14.25, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 83, UE_ID: 95, CELL_SOURCE_ID: 16, CELL_TARGET_ID: 1, RSRP_SOURCE: -104.22, RSRP_TARGET: -92.18, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -2.20, SINR_TARGET: 17.21, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 86, UE_ID: 2, CELL_SOURCE_ID: 57, CELL_TARGET_ID: 55, RSRP_SOURCE: -110.04, RSRP_TARGET: -88.76, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -14.89, SINR_TARGET: 20.10, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 91, UE_ID: 18, CELL_SOURCE_ID: 24, CELL_TARGET_ID: 21, RSRP_SOURCE: -112.16, RSRP_TARGET: -101.68, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -7.98, SINR_TARGET: 8.79, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 94, UE_ID: 95, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -113.09, RSRP_TARGET: -95.53, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.12, SINR_TARGET: 15.70, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 96, UE_ID: 34, CELL_SOURCE_ID: 41, CELL_TARGET_ID: 3, RSRP_SOURCE: -113.22, RSRP_TARGET: -101.75, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.28, SINR_TARGET: 4.95, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 96, UE_ID: 48, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -101.68, RSRP_TARGET: -90.02, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 1.13, SINR_TARGET: 17.92, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 108, UE_ID: 12, CELL_SOURCE_ID: 48, CELL_TARGET_ID: 1, RSRP_SOURCE: -94.69, RSRP_TARGET: -78.54, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 16.39, SINR_TARGET: 33.74, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 108, UE_ID: 29, CELL_SOURCE_ID: 52, CELL_TARGET_ID: 6, RSRP_SOURCE: -109.63, RSRP_TARGET: -99.30, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -10.64, SINR_TARGET: 11.78, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 108, UE_ID: 47, CELL_SOURCE_ID: 5, CELL_TARGET_ID: 1, RSRP_SOURCE: -95.76, RSRP_TARGET: -64.39, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 10.97, SINR_TARGET: 48.78, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 122, UE_ID: 42, CELL_SOURCE_ID: 39, CELL_TARGET_ID: 43, RSRP_SOURCE: -112.54, RSRP_TARGET: -102.28, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -5.35, SINR_TARGET: 5.57, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 129, UE_ID: 35, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 57, RSRP_SOURCE: -112.30, RSRP_TARGET: -96.29, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -2.05, SINR_TARGET: 11.69, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 133, UE_ID: 14, CELL_SOURCE_ID: 31, CELL_TARGET_ID: 32, RSRP_SOURCE: -112.84, RSRP_TARGET: -102.53, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -10.62, SINR_TARGET: 3.09, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 133, UE_ID: 15, CELL_SOURCE_ID: 22, CELL_TARGET_ID: 27, RSRP_SOURCE: -108.54, RSRP_TARGET: -96.47, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 2.23, SINR_TARGET: 12.45, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 151, UE_ID: 83, CELL_SOURCE_ID: 7, CELL_TARGET_ID: 1, RSRP_SOURCE: -101.81, RSRP_TARGET: -89.57, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 3.25, SINR_TARGET: 21.93, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 154, UE_ID: 25, CELL_SOURCE_ID: 15, CELL_TARGET_ID: 1, RSRP_SOURCE: -85.98, RSRP_TARGET: -73.41, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 22.27, SINR_TARGET: 37.77, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 163, UE_ID: 90, CELL_SOURCE_ID: 7, CELL_TARGET_ID: 2, RSRP_SOURCE: -106.22, RSRP_TARGET: -94.89, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -2.08, SINR_TARGET: 15.22, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 164, UE_ID: 31, CELL_SOURCE_ID: 32, CELL_TARGET_ID: 28, RSRP_SOURCE: -113.12, RSRP_TARGET: -102.52, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -5.18, SINR_TARGET: 6.09, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 187, UE_ID: 87, CELL_SOURCE_ID: 57, CELL_TARGET_ID: 5, RSRP_SOURCE: -110.27, RSRP_TARGET: -96.84, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.11, SINR_TARGET: 11.66, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 200, UE_ID: 90, CELL_SOURCE_ID: 28, CELL_TARGET_ID: 4, RSRP_SOURCE: -112.78, RSRP_TARGET: -98.76, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.72, SINR_TARGET: 10.60, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 202, UE_ID: 67, CELL_SOURCE_ID: 51, CELL_TARGET_ID: 49, RSRP_SOURCE: -113.67, RSRP_TARGET: -103.62, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.26, SINR_TARGET: 4.85, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 203, UE_ID: 59, CELL_SOURCE_ID: 10, CELL_TARGET_ID: 3, RSRP_SOURCE: -114.04, RSRP_TARGET: -103.47, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -12.88, SINR_TARGET: 6.70, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 203, UE_ID: 93, CELL_SOURCE_ID: 37, CELL_TARGET_ID: 34, RSRP_SOURCE: -75.64, RSRP_TARGET: -56.70, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 20.97, SINR_TARGET: 52.79, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 208, UE_ID: 12, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -109.67, RSRP_TARGET: -93.81, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.42, SINR_TARGET: 14.18, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 211, UE_ID: 47, CELL_SOURCE_ID: 34, CELL_TARGET_ID: 1, RSRP_SOURCE: -113.75, RSRP_TARGET: -100.96, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.47, SINR_TARGET: 9.94, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 234, UE_ID: 27, CELL_SOURCE_ID: 39, CELL_TARGET_ID: 36, RSRP_SOURCE: -113.32, RSRP_TARGET: -102.34, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -7.90, SINR_TARGET: 7.65, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 235, UE_ID: 14, CELL_SOURCE_ID: 27, CELL_TARGET_ID: 32, RSRP_SOURCE: -112.79, RSRP_TARGET: -101.94, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -3.62, SINR_TARGET: 5.63, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 253, UE_ID: 87, CELL_SOURCE_ID: 55, CELL_TARGET_ID: 22, RSRP_SOURCE: -113.82, RSRP_TARGET: -102.75, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.57, SINR_TARGET: 6.96, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 262, UE_ID: 87, CELL_SOURCE_ID: 22, CELL_TARGET_ID: 55, RSRP_SOURCE: -111.31, RSRP_TARGET: -100.26, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 1.53, SINR_TARGET: 8.76, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 280, UE_ID: 9, CELL_SOURCE_ID: 25, CELL_TARGET_ID: 26, RSRP_SOURCE: -104.62, RSRP_TARGET: -93.45, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 5.14, SINR_TARGET: 14.19, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
