TIMESTAMP: 43, UE_ID: 62, CELL_SOURCE_ID: 7, CELL_TARGET_ID: 1, RSRP_SOURCE: -100.70, RSRP_TARGET: -88.82, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 4.82, SINR_TARGET: 19.82, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 54, UE_ID: 2, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 3, RSRP_SOURCE: -111.98, RSRP_TARGET: -101.48, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -16.21, SINR_TARGET: 12.75, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 54, UE_ID: 74, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 3, RSRP_SOURCE: -112.33, RSRP_TARGET: -99.69, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -15.20, SINR_TARGET: 13.65, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 68, UE_ID: 18, CELL_SOURCE_ID: 4, CELL_TARGET_ID: 1, RSRP_SOURCE: -104.59, RSRP_TARGET: -91.36, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.36, SINR_TARGET: 20.95, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 68, UE_ID: 53, CELL_SOURCE_ID: 4, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.57, RSRP_TARGET: -98.12, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.14, SINR_TARGET: 12.23, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 91, UE_ID: 92, CELL_SOURCE_ID: 17, CELL_TARGET_ID: 1, RSRP_SOURCE: -109.60, RSRP_TARGET: -98.07, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 0.16, SINR_TARGET: 10.89, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 94, UE_ID: 16, CELL_SOURCE_ID: 43, CELL_TARGET_ID: 44, RSRP_SOURCE: -82.83, RSRP_TARGET: -62.40, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 15.38, SINR_TARGET: 51.04, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 95, UE_ID: 57, CELL_SOURCE_ID: 37, CELL_TARGET_ID: 38, RSRP_SOURCE: -64.57, RSRP_TARGET: -49.95, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 34.38, SINR_TARGET: 56.62, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 96, UE_ID: 4, CELL_SOURCE_ID: 18, CELL_TARGET_ID: 2, RSRP_SOURCE: -113.15, RSRP_TARGET: -102.98, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -14.86, SINR_TARGET: -1.24, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 97, UE_ID: 96, CELL_SOURCE_ID: 14, CELL_TARGET_ID: 15, RSRP_SOURCE: -112.53, RSRP_TARGET: -97.28, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.07, SINR_TARGET: 5.36, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 98, UE_ID: 25, CELL_SOURCE_ID: 44, CELL_TARGET_ID: 13, RSRP_SOURCE: -104.98, RSRP_TARGET: -90.05, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 6.17, SINR_TARGET: 22.55, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 99, UE_ID: 96, CELL_SOURCE_ID: 15, CELL_TARGET_ID: 13, RSRP_SOURCE: -114.80, RSRP_TARGET: -102.21, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -10.70, SINR_TARGET: 1.61, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 101, UE_ID: 90, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 4, RSRP_SOURCE: -113.98, RSRP_TARGET: -90.18, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.19, SINR_TARGET: 22.04, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 102, UE_ID: 47, CELL_SOURCE_ID: 5, CELL_TARGET_ID: 1, RSRP_SOURCE: -104.92, RSRP_TARGET: -77.28, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -6.30, SINR_TARGET: 24.37, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 104, UE_ID: 92, CELL_SOURCE_ID: 12, CELL_TARGET_ID: 8, RSRP_SOURCE: -110.58, RSRP_TARGET: -96.95, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.60, SINR_TARGET: 12.32, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 107, UE_ID: 14, CELL_SOURCE_ID: 31, CELL_TARGET_ID: 32, RSRP_SOURCE: -110.23, RSRP_TARGET: -96.09, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -8.14, SINR_TARGET: 11.73, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 108, UE_ID: 74, CELL_SOURCE_ID: 55, CELL_TARGET_ID: 53, RSRP_SOURCE: -110.41, RSRP_TARGET: -99.33, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.69, SINR_TARGET: 9.69, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
