TIMESTAMP: 12, UE_ID: 22, CELL_SOURCE_ID: 42, CELL_TARGET_ID: 1, RSRP_SOURCE: -101.03, RSRP_TARGET: -86.67, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -0.50, SINR_TARGET: 23.00, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 15, UE_ID: 69, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 3, RSRP_SOURCE: -114.76, RSRP_TARGET: -102.41, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -19.82, SINR_TARGET: 7.65, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 19, UE_ID: 74, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 1, RSRP_SOURCE: -105.66, RSRP_TARGET: -93.68, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.22, SINR_TARGET: 15.41, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 23, UE_ID: 36, CELL_SOURCE_ID: 53, CELL_TARGET_ID: 1, RSRP_SOURCE: -114.15, RSRP_TARGET: -102.69, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -14.65, SINR_TARGET: 5.64, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 24, UE_ID: 31, CELL_SOURCE_ID: 28, CELL_TARGET_ID: 1, RSRP_SOURCE: -111.93, RSRP_TARGET: -98.24, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -11.97, SINR_TARGET: 12.63, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 25, UE_ID: 29, CELL_SOURCE_ID: 4, CELL_TARGET_ID: 2, RSRP_SOURCE: -95.90, RSRP_TARGET: -83.42, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 0.56, SINR_TARGET: 25.36, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 26, UE_ID: 91, CELL_SOURCE_ID: 33, CELL_TARGET_ID: 2, RSRP_SOURCE: -111.19, RSRP_TARGET: -97.37, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -16.49, SINR_TARGET: 9.46, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 0
TIMESTAMP: 41, UE_ID: 17, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 1, RSRP_SOURCE: -107.44, RSRP_TARGET: -94.58, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -9.57, SINR_TARGET: 10.83, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 42, UE_ID: 51, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 4, RSRP_SOURCE: -114.07, RSRP_TARGET: -98.72, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -16.50, SINR_TARGET: 11.85, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 43, UE_ID: 38, CELL_SOURCE_ID: 20, CELL_TARGET_ID: 1, RSRP_SOURCE: -108.36, RSRP_TARGET: -88.96, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -13.02, SINR_TARGET: 19.05, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 44, UE_ID: 18, CELL_SOURCE_ID: 6, CELL_TARGET_ID: 1, RSRP_SOURCE: -100.04, RSRP_TARGET: -87.55, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -0.93, SINR_TARGET: 23.62, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
