TIMESTAMP: 96, UE_ID: 2, CELL_SOURCE_ID: 54, CELL_TARGET_ID: 55, RSRP_SOURCE: -100.08, RSRP_TARGET: -89.56, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 6.12, SINR_TARGET: 21.72, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 115, UE_ID: 38, CELL_SOURCE_ID: 19, CELL_TARGET_ID: 54, RSRP_SOURCE: -105.61, RSRP_TARGET: -94.80, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 3.54, SINR_TARGET: 14.19, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 154, UE_ID: 11, CELL_SOURCE_ID: 22, CELL_TARGET_ID: 2, RSRP_SOURCE: -100.16, RSRP_TARGET: -85.17, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 12.75, SINR_TARGET: 25.66, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 162, UE_ID: 19, CELL_SOURCE_ID: 42, CELL_TARGET_ID: 37, RSRP_SOURCE: -113.15, RSRP_TARGET: -101.61, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.20, SINR_TARGET: 11.43, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 166, UE_ID: 1, CELL_SOURCE_ID: 47, CELL_TARGET_ID: 2, RSRP_SOURCE: -92.74, RSRP_TARGET: -82.71, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 14.72, SINR_TARGET: 27.84, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 166, UE_ID: 47, CELL_SOURCE_ID: 23, CELL_TARGET_ID: 2, RSRP_SOURCE: -97.16, RSRP_TARGET: -84.77, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 14.46, SINR_TARGET: 27.26, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 182, UE_ID: 10, CELL_SOURCE_ID: 12, CELL_TARGET_ID: 2, RSRP_SOURCE: -105.18, RSRP_TARGET: -95.02, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 2.87, SINR_TARGET: 18.20, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 184, UE_ID: 77, CELL_SOURCE_ID: 33, CELL_TARGET_ID: 4, RSRP_SOURCE: -106.92, RSRP_TARGET: -95.82, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.26, SINR_TARGET: 15.28, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 195, UE_ID: 66, CELL_SOURCE_ID: 42, CELL_TARGET_ID: 36, RSRP_SOURCE: -111.96, RSRP_TARGET: -101.51, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.23, SINR_TARGET: 5.59, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 207, UE_ID: 62, CELL_SOURCE_ID: 9, CELL_TARGET_ID: 54, RSRP_SOURCE: -111.49, RSRP_TARGET: -95.40, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -1.30, SINR_TARGET: 17.01, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
TIMESTAMP: 208, UE_ID: 12, CELL_SOURCE_ID: 51, CELL_TARGET_ID: 2, RSRP_SOURCE: -112.02, RSRP_TARGET: -88.98, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 1.04, SINR_TARGET: 19.01, TIME_TO_TRIGGER: 12.00, A3_OFFSET: 10.00, HOF: 1
